Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Unit,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022,Y2023
"1","'051","Armenia","1357","Pesticides (total)","5157","Agricultural Use","t",,,"8.000000","8.000000","23.000000","24.000000","32.000000","41.000000","51.000000","60.000000","70.000000","79.000000","89.000000","98.000000","205.000000","221.000000","228.000000","242.000000","218.000000","198.000000","279.000000","321.000000","363.000000","405.000000","447.000000","488.000000","530.000000","572.000000","614.000000","527.000000","639.000000","914.000000","892.000000","1012.000000"
"1","'051","Armenia","1357","Pesticides (total)","5159","Use per area of cropland","kg/ha",,,"0.020000","0.020000","0.050000","0.050000","0.060000","0.080000","0.100000","0.120000","0.140000","0.160000","0.180000","0.200000","0.410000","0.440000","0.450000","0.480000","0.430000","0.390000","0.550000","0.640000","0.720000","0.800000","0.880000","0.970000","1.050000","1.140000","1.220000","1.040000","1.270000","1.810000","1.770000","2.010000"
"1","'051","Armenia","1357","Pesticides (total)","5172","Use per capita","kg/cap",,,"0.000000","0.000000","0.010000","0.010000","0.010000","0.010000","0.020000","0.020000","0.020000","0.030000","0.030000","0.030000","0.070000","0.070000","0.080000","0.080000","0.070000","0.070000","0.100000","0.110000","0.120000","0.140000","0.150000","0.170000","0.180000","0.200000","0.210000","0.180000","0.220000","0.320000","0.310000","0.340000"
"1","'051","Armenia","1357","Pesticides (total)","5173","Use per value of agricultural production","g/Int$",,,,,,,,"0.050000","0.060000","0.070000","0.080000","0.090000","0.090000","0.100000","0.170000","0.160000","0.160000","0.160000","0.140000","0.120000","0.200000","0.210000","0.220000","0.230000","0.240000","0.240000","0.290000","0.320000","0.390000","0.340000","0.400000","0.580000","0.570000","0.660000"
"1","'051","Armenia","1309","Insecticides","5157","Agricultural Use","t",,,"4.000000","4.000000","11.000000","13.000000","20.000000","20.000000","20.000000","20.000000","21.000000","21.000000","21.000000","21.000000","31.000000","42.000000","44.000000","64.000000","74.000000","47.000000","52.000000","65.000000","79.000000","92.000000","106.000000","119.000000","133.000000","146.000000","160.000000","117.000000","163.000000","233.000000","227.000000","258.000000"
"1","'051","Armenia","1310","Insecticides – Chlorinated Hydrocarbons","5157","Agricultural Use","t",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.000000",,,,
"1","'051","Armenia","1311","Insecticides – Organo-phosphates","5157","Agricultural Use","t",,,,"1.000000","9.000000","8.000000","14.000000",,,,,,,"17.000000","21.000000","32.000000","26.000000","48.000000","59.000000","36.000000","37.000000",,,,,,,,,"33.000000",,,,
"1","'051","Armenia","1312","Insecticides – Carbamates","5157","Agricultural Use","t",,,,,,,,,,,,,,"0.000000","0.000000",,"0.000000","0.000000","0.000000","0.000000",,,,,,,,,,"0.000000",,,,
"1","'051","Armenia","1313","Insecticides – Pyrethroids","5157","Agricultural Use","t",,,,"2.000000","1.000000","3.000000","4.000000",,,,,,,"3.000000","5.000000","6.000000","12.000000","11.000000","9.000000","6.000000","8.000000",,,,,,,,,"15.000000",,,,
"1","'051","Armenia","1314","Insecticides - Biopesticides","5157","Agricultural Use","t",,,,,,,,,,,,,,"0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",,,,,,,,,"1.000000",,,,
"1","'051","Armenia","1315","Insecticides - nes","5157","Agricultural Use","t",,,,"1.000000","1.000000","2.000000","2.000000",,,,,,,"1.000000","5.000000","4.000000","6.000000","5.000000","6.000000","6.000000","7.000000",,,,,,,,,"67.000000",,,,
