Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Unit,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022,Y2023
"3","'008","Albania","1357","Pesticides (total)","5157","Agricultural Use","t","121.000000","121.000000","121.000000","121.000000","201.000000","251.000000","262.000000","274.000000","285.000000","297.000000","308.000000","319.000000","331.000000","342.000000","354.000000","365.000000","376.000000","388.000000","399.000000","411.000000","590.000000","583.000000","362.000000","451.000000","457.000000","538.000000","584.000000","615.000000","442.000000","746.000000","402.000000","433.000000","296.000000","296.000000"
"3","'008","Albania","1357","Pesticides (total)","5159","Use per area of cropland","kg/ha","0.170000","0.170000","0.170000","0.170000","0.290000","0.360000","0.370000","0.390000","0.410000","0.420000","0.440000","0.460000","0.470000","0.490000","0.510000","0.550000","0.530000","0.560000","0.570000","0.590000","0.850000","0.840000","0.520000","0.650000","0.660000","0.770000","0.830000","0.880000","0.640000","1.070000","0.580000","0.630000","0.430000","0.440000"
"3","'008","Albania","1357","Pesticides (total)","5172","Use per capita","kg/cap","0.040000","0.040000","0.040000","0.040000","0.060000","0.080000","0.080000","0.080000","0.090000","0.090000","0.100000","0.100000","0.110000","0.110000","0.110000","0.120000","0.120000","0.130000","0.130000","0.140000","0.200000","0.200000","0.120000","0.150000","0.160000","0.190000","0.200000","0.210000","0.150000","0.260000","0.140000","0.150000","0.100000","0.110000"
"3","'008","Albania","1357","Pesticides (total)","5173","Use per value of agricultural production","g/Int$","0.120000",,,"0.110000","0.170000","0.200000","0.200000","0.220000","0.220000","0.230000","0.230000","0.230000","0.240000","0.240000","0.230000","0.250000","0.240000","0.250000","0.250000","0.250000","0.330000","0.310000","0.180000","0.230000","0.230000","0.260000","0.270000","0.290000","0.200000","0.350000","0.180000","0.200000","0.140000","0.140000"
"3","'008","Albania","1309","Insecticides","5157","Agricultural Use","t","70.000000","70.000000","70.000000","70.000000","117.000000","145.000000","152.000000","158.000000","165.000000","172.000000","179.000000","185.000000","192.000000","199.000000","205.000000","212.000000","219.000000","226.000000","232.000000","239.000000","378.000000","321.000000","163.000000","216.000000","93.000000","155.000000","190.000000","202.000000","129.000000","151.000000","45.000000","45.000000","37.000000","37.000000"
"3","'008","Albania","1310","Insecticides – Chlorinated Hydrocarbons","5157","Agricultural Use","t",,,,"10.000000","17.000000","22.000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3","'008","Albania","1311","Insecticides – Organo-phosphates","5157","Agricultural Use","t",,,,"30.000000","50.000000","64.000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3","'008","Albania","1312","Insecticides – Carbamates","5157","Agricultural Use","t",,,,"14.000000","26.000000","30.000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3","'008","Albania","1313","Insecticides – Pyrethroids","5157","Agricultural Use","t",,,,"1.000000","2.000000","2.000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3","'008","Albania","1315","Insecticides - nes","5157","Agricultural Use","t",,,,"15.000000","22.000000","27.000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
