Area Code (M49),Area,Item,Element,Unit,Year,value,Sub-region Name,Food loss percentage
660,Anguilla,Pesticides (total),Agricultural Use,t,2016,66.0,latin america and the caribbean,12.2
660,Anguilla,Pesticides (total),Use per capita,kg/cap,2016,4.6,latin america and the caribbean,12.2
660,Anguilla,Insecticides,Agricultural Use,t,2016,9.0,latin america and the caribbean,12.2
660,Anguilla,Herbicides,Agricultural Use,t,2016,42.0,latin america and the caribbean,12.2
660,Anguilla,Fungicides and Bactericides,Agricultural Use,t,2016,9.0,latin america and the caribbean,12.2
660,Anguilla,Other Pesticides nes,Agricultural Use,t,2016,4.0,latin america and the caribbean,12.2
028,Antigua and Barbuda,Pesticides (total),Agricultural Use,t,2016,180.0,latin america and the caribbean,12.2
028,Antigua and Barbuda,Pesticides (total),Use per area of cropland,kg/ha,2016,36.04,latin america and the caribbean,12.2
028,Antigua and Barbuda,Pesticides (total),Use per capita,kg/cap,2016,2.0,latin america and the caribbean,12.2
028,Antigua and Barbuda,Insecticides,Agricultural Use,t,2016,53.0,latin america and the caribbean,12.2
028,Antigua and Barbuda,Herbicides,Agricultural Use,t,2016,119.0,latin america and the caribbean,12.2
028,Antigua and Barbuda,Fungicides and Bactericides,Agricultural Use,t,2016,8.0,latin america and the caribbean,12.2
032,Argentina,Pesticides (total),Agricultural Use,t,2016,199908.0,latin america and the caribbean,12.2
032,Argentina,Pesticides (total),Use per area of cropland,kg/ha,2016,4.87,latin america and the caribbean,12.2
032,Argentina,Pesticides (total),Use per capita,kg/cap,2016,4.55,latin america and the caribbean,12.2
032,Argentina,Pesticides (total),Use per value of agricultural production,g/Int$,2016,2.86,latin america and the caribbean,12.2
032,Argentina,Insecticides,Agricultural Use,t,2016,5130.0,latin america and the caribbean,12.2
032,Argentina,Herbicides,Agricultural Use,t,2016,187210.0,latin america and the caribbean,12.2
032,Argentina,Fungicides and Bactericides,Agricultural Use,t,2016,4117.0,latin america and the caribbean,12.2
032,Argentina,Plant Growth Regulators,Agricultural Use,t,2016,42.0,latin america and the caribbean,12.2
032,Argentina,Rodenticides,Agricultural Use,t,2016,17.0,latin america and the caribbean,12.2
032,Argentina,Other Pesticides nes,Agricultural Use,t,2016,3392.0,latin america and the caribbean,12.2
533,Aruba,Pesticides (total),Agricultural Use,t,2016,459.0,latin america and the caribbean,12.2
