Year,Sub-region Name,value
1990,Eastern Asia,542019.0
1990,Eastern Europe,107211.0
1990,Latin America and the Caribbean,363196.0
1990,Northern America,889595.0
1990,Northern Europe,95141.0
1990,South-eastern Asia,385582.0
1990,Southern Asia,296544.0
1990,Southern Europe,322518.0
1990,Western Asia,24938.0
1990,Western Europe,347752.0
1991,Eastern Asia,548722.0
1991,Eastern Europe,82537.0
1991,Latin America and the Caribbean,374368.0
1991,Northern America,849161.0
1991,Northern Europe,88237.0
1991,South-eastern Asia,390621.0
1991,Southern Asia,299699.0
1991,Southern Europe,308153.0
1991,Western Asia,25691.0
1991,Western Europe,359686.0
1992,Central Asia,43298.0
1992,Eastern Asia,559057.0
1992,Eastern Europe,272249.0
1992,Latin America and the Caribbean,401673.0
1992,Northern America,862590.0
1992,Northern Europe,128124.0
1992,South-eastern Asia,410426.0
1992,Southern Asia,291853.0
1992,Southern Europe,294452.0
1992,Western Asia,33822.0
1992,Western Europe,313060.0
1993,Central Asia,40699.0
1993,Eastern Asia,574131.0
1993,Eastern Europe,312935.0
1993,Latin America and the Caribbean,446181.0
1993,Northern America,839769.0
1993,Northern Europe,126632.0
1993,South-eastern Asia,438610.0
1993,Southern Asia,272843.0
1993,Southern Europe,299771.0
1993,Western Asia,33895.0
1993,Western Europe,326613.0
1994,Central Asia,53528.0
1994,Eastern Asia,601444.0
1994,Eastern Europe,295752.0
1994,Latin America and the Caribbean,485751.0
1994,Northern America,939539.0
1994,Northern Europe,132987.0
1994,South-eastern Asia,445678.0
1994,Southern Asia,257928.0
1994,Southern Europe,290617.0
1994,Western Asia,35937.0
1994,Western Europe,310777.0
1995,Central Asia,41925.0
1995,Eastern Asia,642145.0
1995,Eastern Europe,277249.0
1995,Latin America and the Caribbean,550258.0
1995,Northern America,911102.0
1995,Northern Europe,135392.0
1995,South-eastern Asia,488326.0
1995,Southern Asia,256145.0
1995,Southern Europe,297011.0
1995,Western Asia,35860.0
1995,Western Europe,393439.0
1996,Central Asia,42292.0
1996,Eastern Asia,659971.0
1996,Eastern Europe,259044.0
1996,Latin America and the Caribbean,642828.0
1996,Northern America,937116.0
1996,Northern Europe,132602.0
1996,South-eastern Asia,508587.0
1996,Southern Asia,233961.0
1996,Southern Europe,294298.0
1996,Western Asia,38092.0
1996,Western Europe,435614.0
1997,Central Asia,28284.0
1997,Eastern Asia,679797.0
1997,Eastern Europe,262338.0
1997,Latin America and the Caribbean,778582.0
1997,Northern America,940415.0
1997,Northern Europe,133958.0
1997,South-eastern Asia,500834.0
1997,Southern Asia,228162.0
1997,Southern Europe,309218.0
1997,Western Asia,45476.0
1997,Western Europe,362065.0
1998,Central Asia,17080.0
1998,Eastern Asia,687160.0
1998,Eastern Europe,228061.0
1998,Latin America and the Caribbean,902298.0
1998,Northern America,931934.0
1998,Northern Europe,135868.0
1998,South-eastern Asia,461314.0
1998,Southern Asia,225833.0
1998,Southern Europe,396582.0
1998,Western Asia,40342.0
1998,Western Europe,371012.0
1999,Central Asia,13249.0
1999,Eastern Asia,733566.0
1999,Eastern Europe,210542.0
1999,Latin America and the Caribbean,856126.0
1999,Northern America,956139.0
1999,Northern Europe,132925.0
1999,South-eastern Asia,472047.0
1999,Southern Asia,226210.0
1999,Southern Europe,384403.0
1999,Western Asia,37975.0
1999,Western Europe,373396.0
2000,Central Asia,9481.0
2000,Eastern Asia,791792.0
2000,Eastern Europe,196513.0
2000,Latin America and the Caribbean,955943.0
2000,Northern America,939614.0
2000,Northern Europe,128844.0
2000,South-eastern Asia,476246.0
2000,Southern Asia,203798.0
2000,Southern Europe,382862.0
2000,Western Asia,37265.0
2000,Western Europe,455003.0
2001,Central Asia,9149.0
2001,Eastern Asia,790632.0
2001,Eastern Europe,190839.0
2001,Latin America and the Caribbean,929733.0
2001,Northern America,899989.0
2001,Northern Europe,132165.0
2001,South-eastern Asia,491970.0
2001,Southern Asia,193360.0
2001,Southern Europe,375593.0
2001,Western Asia,40100.0
2001,Western Europe,443820.0
2002,Central Asia,10103.0
2002,Eastern Asia,778569.0
